Best Price,Best House,Make,Model,Detail,Size(s),Part ID,National,Spec Make,Texas Plumbing Supply,Spec Make,Ferguson,Spec Make,Reece,Spec Make,Winston Water Cooler,Spec Make,Texas Wholesale,Spec Make,PlumbingSupply.com,Spec Make,Moore Supply,Spec Make,Hughes Supply,Spec Make,Bruh,Winsupply,Spec Make,Other,Column 1,HIDDEN COLUMN FOR TWP CODES
$0.59 ,Texas Wholesale,Lesso,DWV Fitting,CLEANOUT PLUG（MPT）,"1-1/4""",PVC114PLUG,,,,,,,,,,,$0.59 ,,,,,,,,,,,,,CLEANOUT PLUG（MPT）
$0.45 ,Texas Wholesale,Lesso,DWV Fitting,CLEANOUT PLUG（MPT）,"1-1/2""",PVC112PLUG,,,$1.02 ,,,,,,,,$0.45 ,,,,,,,,,,,,,CLEANOUT PLUG（MPT）
$0.51 ,Texas Wholesale,Lesso,DWV Fitting,CLEANOUT PLUG（MPT）,"2""",PVC2PLUG,,,$1.15 ,,,,,,,,$0.51 ,,,,,,,,,,,,,CLEANOUT PLUG（MPT）
$0.91 ,Texas Wholesale,Lesso,DWV Fitting,CLEANOUT PLUG（MPT）,"3""",PVC3PLUG,,,$2.05 ,,,,,,,,$0.91 ,,,,,,,,,,,,,CLEANOUT PLUG（MPT）
$1.34 ,Texas Wholesale,Lesso,DWV Fitting,CLEANOUT PLUG（MPT）,"4""",PVC4PLUG,,,$3.03 ,,,,,,,,$1.34 ,,,,,,,,,,,,,CLEANOUT PLUG（MPT）
$4.27 ,Texas Wholesale,Lesso,DWV Fitting,CLEANOUT PLUG（MPT）,"6""",PVC6PLUG,,,$9.63 ,,,,,,,,$4.27 ,,,,,,,,,,,,,CLEANOUT PLUG（MPT）
$19.34 ,Texas Wholesale,Lesso,DWV Fitting,CLEANOUT PLUG（MPT）,"8""",PVC8PLUG,,,$58.88 ,,,,,,,,$19.34 ,,,,,,,,,,,,,CLEANOUT PLUG（MPT）
$1.01 ,Texas Wholesale,Lesso,DWV Fitting,FLUSH BUSHING (S X H),"1-1/2""×1-1/4""",PVC112114BUSH,,,,,,,,,,,$1.01 ,,,,,,,,,,,,,FLUSH BUSHING (S X H)
$1.16 ,Texas Wholesale,Lesso,DWV Fitting,FLUSH BUSHING (S X H),"2""×1-1/4""",PVC2114BUSH,,,,,,,,,,,$1.16 ,,,,,,,,,,,,,FLUSH BUSHING (S X H)
$0.44 ,Texas Wholesale,Lesso,DWV Fitting,FLUSH BUSHING (S X H),"2""×1-1/2""",PVC2112BUSH,,,$0.99 ,,,,,,,,$0.44 ,,,,,,,,,,,,,FLUSH BUSHING (S X H)
$2.11 ,Texas Wholesale,Lesso,DWV Fitting,FLUSH BUSHING (S X H),"3""×1-1/2""",PVC3112BUSH,,,$5.76 ,,,,,,,,$2.11 ,,,,,,,,,,,,,FLUSH BUSHING (S X H)
$1.11 ,Texas Wholesale,Lesso,DWV Fitting,FLUSH BUSHING (S X H),"3""×2""",PVC32BUSH,,,$2.52 ,,,,,,,,$1.11 ,,,,,,,,,,,,,FLUSH BUSHING (S X H)
$3.67 ,Texas Wholesale,Lesso,DWV Fitting,FLUSH BUSHING (S X H),"4""×2""",PVC42BUSH,,,$8.29 ,,,,,,,,$3.67 ,,,,,,,,,,,,,FLUSH BUSHING (S X H)
$1.89 ,Texas Wholesale,Lesso,DWV Fitting,FLUSH BUSHING (S X H),"4""×3""",PVC43BUSH,,,$4.28 ,,,,,,,,$1.89 ,,,,,,,,,,,,,FLUSH BUSHING (S X H)
$8.90 ,Texas Wholesale,Lesso,DWV Fitting,FLUSH BUSHING (S X H),"6""×3""",PVC63BUSH,,,$20.44 ,,,,,,,,$8.90 ,,,,,,,,,,,,,FLUSH BUSHING (S X H)
$9.43 ,Texas Wholesale,Lesso,DWV Fitting,FLUSH BUSHING (S X H),"6""×4""",PVC64BUSH,,,$21.29 ,,,,,,,,$9.43 ,,,,,,,,,,,,,FLUSH BUSHING (S X H)
$17.02 ,Texas Wholesale,Lesso,DWV Fitting,FLUSH BUSHING (S X H),"8""×4""",PVC84BUSH,,,$43.39 ,,,,,,,,$17.02 ,,,,,,,,,,,,,FLUSH BUSHING (S X H)
$18.47 ,Texas Wholesale,Lesso,DWV Fitting,FLUSH BUSHING (S X H),"8""×6""",PVC86BUSH,,,$50.36 ,,,,,,,,$18.47 ,,,,,,,,,,,,,FLUSH BUSHING (S X H)
$33.39 ,Texas Wholesale,Lesso,DWV Fitting,FLUSH BUSHING (S X H),"10""×6""",PVC106BUSH,,,$138.10 ,,,,,,,,$33.39 ,,,,,,,,,,,,,FLUSH BUSHING (S X H)
$34.41 ,Texas Wholesale,Lesso,DWV Fitting,FLUSH BUSHING (S X H),"10""×8""",PVC108BUSH,,,$142.62 ,,,,,,,,$34.41 ,,,,,,,,,,,,,FLUSH BUSHING (S X H)
$57.35 ,Texas Wholesale,Lesso,DWV Fitting,FLUSH BUSHING (S X H),"12""×6""",PVC126BUSH,,,$235.53 ,,,,,,,,$57.35 ,,,,,,,,,,,,,FLUSH BUSHING (S X H)
$60.22 ,Texas Wholesale,Lesso,DWV Fitting,FLUSH BUSHING (S X H),"12""×8""",PVC128BUSH,,,$249.02 ,,,,,,,,$60.22 ,,,,,,,,,,,,,FLUSH BUSHING (S X H)
$1.51 ,Texas Wholesale,Lesso,DWV Fitting,MALE ADAPTER (MPT X H),"1-1/4""",PVC114MA,,,,,,,,,,,$1.51 ,,,,,,,,,,,,,MALE ADAPTER (MPT X H)
$0.48 ,Texas Wholesale,Lesso,DWV Fitting,MALE ADAPTER (MPT X H),"1-1/2""",PVC112MA,,,$1.31 ,,,,,,,,$0.48 ,,,,,,,,,,,,,MALE ADAPTER (MPT X H)
$0.65 ,Texas Wholesale,Lesso,DWV Fitting,MALE ADAPTER (MPT X H),"2""",PVC2MA,,,$1.46 ,,,,,,,,$0.65 ,,,,,,,,,,,,,MALE ADAPTER (MPT X H)
$1.81 ,Texas Wholesale,Lesso,DWV Fitting,MALE ADAPTER (MPT X H),"3""",PVC3MA,,,$4.93 ,,,,,,,,$1.81 ,,,,,,,,,,,,,MALE ADAPTER (MPT X H)
$4.09 ,Texas Wholesale,Lesso,DWV Fitting,MALE ADAPTER (MPT X H),"4""",PVC4MA,,,$11.16 ,,,,,,,,$4.09 ,,,,,,,,,,,,,MALE ADAPTER (MPT X H)
$12.31 ,Texas Wholesale,Lesso,DWV Fitting,MALE ADAPTER (MPT X H),"6""",PVC6MA,,,,,,,,,,,$12.31 ,,,,,,,,,,,,,MALE ADAPTER (MPT X H)
$0.70 ,Texas Wholesale,Lesso,DWV Fitting,MALE ADAPTER (MPT X H),"1-1/4""×1-1/2""",PVC114112MA,,,,,,,,,,,$0.70 ,,,,,,,,,,,,,MALE ADAPTER (MPT X H)
$0.90 ,Texas Plumbing Supply,Lesso,DWV Fitting,CAP (SOC),"1-1/2""",PVC112TC,,,$0.90 ,,,,,,,,$1.02 ,,,,,,,,,,,,,CAP (SOC)
$1.07 ,Texas Plumbing Supply,Lesso,DWV Fitting,CAP (SOC),"2""",PVC2TC,,,$1.07 ,,,,,,,,$1.70 ,,,,,,,,,,,,,CAP (SOC)
$2.85 ,Texas Wholesale,Lesso,DWV Fitting,CAP (SOC),"3""",PVC3YC,,,$3.73 ,,,,,,,,$2.85 ,,,,,,,,,,,,,CAP (SOC)
$4.07 ,Texas Wholesale,Lesso,DWV Fitting,CAP (SOC),"4""",PVC4TC,,,$8.50 ,,,,,,,,$4.07 ,,,,,,,,,,,,,CAP (SOC)
$10.27 ,Texas Wholesale,Lesso,DWV Fitting,CAP (SOC),"6""",PVC6TC,,,$20.38 ,,,,,,,,$10.27 ,,,,,,,,,,,,,CAP (SOC)
$27.60 ,Texas Wholesale,Lesso,DWV Fitting,CAP (SOC),"8""",PVC8TC,,,$57.32 ,,,,,,,,$27.60 ,,,,,,,,,,,,,CAP (SOC)
$34.51 ,Texas Wholesale,Lesso,DWV Fitting,CAP (SOC),"10""",PVC10TC,,,,,,,,,,,$34.51 ,,,,,,,,,,,,,CAP (SOC)
$43.65 ,Texas Wholesale,Lesso,DWV Fitting,CAP (SOC),"12""",PVC12TC,,,,,,,,,,,$43.65 ,,,,,,,,,,,,,CAP (SOC)
$1.88 ,Texas Wholesale,Lesso,DWV Fitting,1/4 BEND (H X H),"1-1/4""",PVC11290,,,,,,,,,,,$1.88 ,,,,,,,,,,,,,1/4 BEND (H X H)
$0.54 ,Texas Wholesale,Lesso,DWV Fitting,1/4 BEND (H X H),"1-1/2""",PVC11290,,,$1.21 ,,,,,,,,$0.54 ,,,,,,,,,,,,,1/4 BEND (H X H)
$0.84 ,Texas Wholesale,Lesso,DWV Fitting,1/4 BEND (H X H),"2""",PVC290,,,$1.92 ,,,,,,,,$0.84 ,,,,,,,,,,,,,1/4 BEND (H X H)
$2.48 ,Texas Wholesale,Lesso,DWV Fitting,1/4 BEND (H X H),"3""",PVC390,,,$5.64 ,,,,,,,,$2.48 ,,,,,,,,,,,,,1/4 BEND (H X H)
$4.89 ,Texas Wholesale,Lesso,DWV Fitting,1/4 BEND (H X H),"4""",PVC490,,,$11.13 ,,,,,,,,$4.89 ,,,,,,,,,,,,,1/4 BEND (H X H)
$16.52 ,Texas Wholesale,Lesso,DWV Fitting,1/4 BEND (H X H),"6""",PVC690,,,$38.98 ,,,,,,,,$16.52 ,,,,,,,,,,,,,1/4 BEND (H X H)
$22.32 ,Texas Wholesale,Lesso,DWV Fitting,1/4 BEND (H X H),"8""",PVC890,,,$50.37 ,,,,,,,,$22.32 ,,,,,,,,,,,,,1/4 BEND (H X H)
